decade,vader_compound,vader_positive,vader_negative,bert_compound
1860,-0.07300714285714285,0.06914285714285714,0.08514285714285715,0.17228393043790544
1900,0.1004642857142857,0.13707142857142857,0.08578571428571428,0.7290604369980949
1920,-0.6369,0.0,0.245,0.9971235990524292
1930,-0.31845,0.0,0.1225,0.9961926341056824
1940,-0.001955813953488379,0.07297674418604651,0.07181395348837209,0.5508028850998989
1950,-0.6369,0.0,0.245,0.9971235990524292
1960,-0.3639428571428572,0.0,0.1417142857142857,0.9960523162569318
1970,0.08946666666666665,0.11966666666666666,0.06133333333333333,0.34785838921864826
1980,-0.26333333333333336,0.049666666666666665,0.14033333333333334,0.3733409643173218
1990,0.0386,0.1045,0.097,0.9969577789306641
2000,-0.15012,0.0,0.0888,0.6031224250793457
2010,-0.12738,0.0,0.049,0.9943670511245728
2020,0.0,0.0,0.0,0.9928860366344452
