speaker,date,text,year,decade,century,preprocessed_text,vader_compound,vader_positive,vader_negative,vader_neutral,bert_compound,bert_positive,bert_negative,topic
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation...",1863,1860,19,four score seven year ago father brought forth continent new nation,0.0,0.0,0.0,1.0,0.9966448545455933,0.9983224272727966,0.0016775727272033691,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,-0.1531,0.149,0.176,0.676,-0.8691948652267456,0.0654025673866272,0.9345974326133728,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,-0.1531,0.149,0.176,0.676,-0.8691948652267456,0.0654025673866272,0.9345974326133728,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,0.9927171468734741,0.9963585734367371,0.0036414265632629395,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,0.9927171468734741,0.9963585734367371,0.0036414265632629395,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,0.9927171468734741,0.9963585734367371,0.0036414265632629395,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,-0.7351,0.0,0.383,0.617,0.8539319038391113,0.9269659519195557,0.07303404808044434,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,-0.9872558116912842,0.00637209415435791,0.9936279058456421,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,-0.8951877355575562,0.052406132221221924,0.9475938677787781,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.7717,0.521,0.0,0.479,0.9993178844451904,0.9996589422225952,0.00034105777740478516,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,-0.1531,0.149,0.176,0.676,-0.8691948652267456,0.0654025673866272,0.9345974326133728,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,0.9988279342651367,0.9994139671325684,0.0005860328674316406,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,-0.5994,0.0,0.281,0.719,-0.9227942228317261,0.03860288858413696,0.961397111415863,1
Abraham Lincoln,1863-11-19,"Four score and seven years ago our fathers brought forth on this continent, a new nation... (reiterated)",1863,1860,19,four score seven year ago father brought forth continent new nation reiterated,0.0,0.0,0.0,1.0,0.9979233741760254,0.9989616870880127,0.0010383129119873047,1
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.4588,0.3,0.0,0.7,0.9971150159835815,0.9985575079917908,0.0014424920082092285,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far.,1901,1900,20,speak softly carry big stick go far,0.0,0.0,0.0,1.0,0.9952616691589355,0.9976308345794678,0.0023691654205322266,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,-0.1531,0.149,0.176,0.676,-0.8691948652267456,0.0654025673866272,0.9345974326133728,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.0,0.228,0.283,0.489,0.9946767091751099,0.9973383545875549,0.0026616454124450684,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.6696,0.391,0.0,0.609,0.9993417263031006,0.9996708631515503,0.00032913684844970703,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.0,0.0,0.0,1.0,0.9927171468734741,0.9963585734367371,0.0036414265632629395,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.1779,0.086,0.0,0.914,0.9962500333786011,0.9981250166893005,0.0018749833106994629,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.0,0.0,0.0,1.0,0.9892145395278931,0.9946072697639465,0.005392730236053467,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.0,0.0,0.0,1.0,0.9927171468734741,0.9963585734367371,0.0036414265632629395,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,-0.1531,0.149,0.176,0.676,-0.8691948652267456,0.0654025673866272,0.9345974326133728,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.2023,0.396,0.321,0.283,0.9975677728652954,0.9987838864326477,0.001216113567352295,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.0,0.0,0.0,1.0,0.9995452165603638,0.9997726082801819,0.00022739171981811523,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,-0.3818,0.0,0.245,0.755,0.9914931058883667,0.9957465529441833,0.00425344705581665,0
Theodore Roosevelt,1901-03-04,Speak softly and carry a big stick; you will go far. (reiterated),1901,1900,20,speak softly carry big stick go far reiterated,0.5859,0.22,0.0,0.78,0.999335765838623,0.9996678829193115,0.00033211708068847656,0
Periyar E.V. Ramasamy,1925-06-10,The abolition of caste is essential for the progress of our society.,1925,1920,20,abolition caste essential progress society,-0.6369,0.0,0.245,0.755,0.9971235990524292,0.9985617995262146,0.0014382004737854004,2
Chandrashekhar Azad,1931-02-27,"I will never be caught by the British, I shall die with freedom on my lips.",1931,1930,20,never caught british shall die freedom lip,-0.6369,0.0,0.245,0.755,0.9971235990524292,0.9985617995262146,0.0014382004737854004,5
Franklin D. Roosevelt,1933-03-04,The only thing we have to fear is fear itself.,1933,1930,20,thing fear fear,0.0,0.0,0.0,1.0,0.9952616691589355,0.9976308345794678,0.0023691654205322266,5
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,0.0,0.0,0.0,1.0,0.9927171468734741,0.9963585734367371,0.0036414265632629395,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,0.0,0.0,0.0,1.0,0.9995275735855103,0.9997637867927551,0.00023621320724487305,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,0.5267,0.405,0.0,0.595,0.999298095703125,0.9996490478515625,0.0003509521484375,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,-0.3182,0.0,0.247,0.753,0.9794712066650391,0.9897356033325195,0.010264396667480469,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,0.0,0.0,0.0,1.0,0.9992890357971191,0.9996445178985596,0.0003554821014404297,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,-0.5994,0.0,0.494,0.506,-0.9307805299758911,0.03460973501205444,0.9653902649879456,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,0.0,0.0,0.0,1.0,0.9953298568725586,0.9976649284362793,0.002335071563720703,3
Winston Churchill,1940-06-04,"We shall fight on the beaches, we shall fight on the landing grounds, we shall never surrender. (reiterated)",1940,1940,20,shall fight beach shall fight landing ground shall never surrender reiterated,0.6833,0.188,0.0,0.812,0.9582180976867676,0.9791090488433838,0.02089095115661621,3
