year,vader_compound,vader_positive,vader_negative,bert_compound
1863,-0.07300714285714285,0.06914285714285714,0.08514285714285715,0.17228393043790544
1901,0.1004642857142857,0.13707142857142857,0.08578571428571428,0.7290604369980949
1925,-0.6369,0.0,0.245,0.9971235990524292
1931,-0.6369,0.0,0.245,0.9971235990524292
1933,0.0,0.0,0.0,0.9952616691589355
1940,0.018528571428571422,0.0785,0.07807142857142857,0.525942896093641
1942,0.012538461538461533,0.04230769230769231,0.035076923076923075,0.553128719329834
1943,-0.6369,0.0,0.245,0.9971235990524292
1945,-0.6369,0.0,0.245,0.9971235990524292
1947,0.10801538461538461,0.11453846153846153,0.06184615384615384,0.47225225888765776
1949,-0.6369,0.0,0.245,0.9971235990524292
1950,-0.6369,0.0,0.245,0.9971235990524292
1955,-0.6369,0.0,0.245,0.9971235990524292
1961,-0.31845,0.0,0.1285,0.996819794178009
1963,0.0,0.0,0.0,0.9952616691589355
1964,-0.6369,0.0,0.245,0.9971235990524292
1965,-0.42460000000000003,0.0,0.16333333333333333,0.9954471190770467
1971,0.13419999999999999,0.1795,0.092,0.025740504264831543
1979,0.0,0.0,0.0,0.9920941591262817
1985,-0.6369,0.0,0.245,0.9971235990524292
1987,0.0,0.0,0.0,0.9920941591262817
1988,-0.1531,0.149,0.176,-0.8691948652267456
1994,0.0,0.0,0.0,0.9948794841766357
1998,0.0772,0.209,0.194,0.9990360736846924
2001,0.0,0.0,0.0,0.9920941591262817
2003,0.0,0.0,0.0,0.9920941591262817
2005,-0.3753,0.0,0.222,0.018081068992614746
2008,0.0,0.0,0.0,0.9952616691589355
2013,-0.6369,0.0,0.245,0.9971235990524292
2014,0.0,0.0,0.0,0.9936779141426086
2015,0.0,0.0,0.0,0.9936779141426086
2016,0.0,0.0,0.0,0.9920941591262817
2017,0.0,0.0,0.0,0.9936779141426086
2018,0.0,0.0,0.0,0.9952616691589355
2019,-0.6369,0.0,0.245,0.9971235990524292
2020,0.0,0.0,0.0,0.9920941591262817
2021,0.0,0.0,0.0,0.9952616691589355
2022,0.0,0.0,0.0,0.9920941591262817
